Year,Monthly Mortgage Payment,28% of Monthly Income
1990,872,1951
1991,790,2213
1992,740,2475
1993,694,2475
1994,791,2475
1995,781,2475
1996,807,2475
1997,825,2766
1998,807,2999
1999,895,2999
2000,997,2999
2001,930,2999
2002,953,2999
2003,918,2999
2004,1042,2999
2005,1139,2999
2006,1235,2999
2007,1233,2999
2008,1117,3407
2009,935,3815
2010,919,4222
2011,916,4222
2012,898,4222
2013,1025,4222
2014,1125,4222
2015,1103,4222
2016,1126,4222
2017,1233,4222
2018,1329,4222
2019,1219,4222
2020,1151,4222
2021,1333,4222